name,mz,rt,adduct
CUDA iSTD [M+H]+_HPTJABJPZMULFH-UHFFFAOYSA-N,341.2799,0.257658827,[M+H]+
D3-N-Acetyl-5-methoxytryptamine iSTD [M+H]+,236.147825,0.259421459,[M+H]+
D7-Acetaminophen iSTD [M+H]+,155.09,0.270634221,[M+H]+
D3-Cotinine iSTD [M+H]+,180.121625,0.284845259,[M+H]+
D4-Thymine iSTD [M+H]+,131.075825,0.337992493,[M+H]+
D2-Biotin iSTD [M+H]+,247.108525,0.707641625,[M+H]+
D3-Creatinine iSTD [M+H]+_DDRJAANPRJIHGJ-FIBGUPNXSA-N,117.085,0.901074849,[M+H]+
D9-Choline iSTD [M]+_SGMZJAMFUVOLNK-KYRNGWDOSA-M,113.1635,1.031960882,[M]+
D9-TMAO iSTD [M+H]+_UYPYRKYUKCHHIB-UHFFFAOYSA-N,85.1322,1.155154375,[M+H]+
D4-Taurochenodeoxycholic acid iSTD [M+H]+,504.3297,1.246397538,[M+H]+
D4-Niacin iSTD [M+H]+,128.064925,1.333539073,[M+H]+
D3-1-Methylnicotinamide iSTD [M]+,140.0898,1.354996649,[M]+
D4-Glycocholic acid iSTD [M+H]+,470.341925,1.476906938,[M+H]+
D5-Phenylacetylglutamine iSTD [M+H]+,270.150225,1.499106263,[M+H]+
D8-Tryptophan iSTD [M+H]+,213.147,1.5875761,[M+H]+
D8-Phenylalanine iSTD [M+H]+,174.1362,1.604197957,[M+H]+
Val-Tyr-Val iSTD [M+H]+_ZNGPROMGGGFOAA-JYJNAYRXSA-N,380.218,1.615868308,[M+H]+
D10-Leucine iSTD [M+H]+_ROHFNLRQFUQHCH-SHJFKSRGSA-N,142.164,1.653822604,[M+H]+
D9-Betaine iSTD [M+H]+,127.1427,1.700274051,[M+H]+
D10-Isoleucine iSTD [M+H]+,142.164,1.712778696,[M+H]+
D3-ACar(2:0) iSTD [M+H]+,207.1419,1.719653083,[M+H]+
"D3-Histamine, N-methyl- iSTD [M+H]+",129.1214,1.755801566,[M+H]+
D8-Methionine iSTD [M+H]+,158.108,1.780518867,[M+H]+
D8-Valine iSTD [M+H]+_KZSNJWFQEVHDMF-AYWPRJOCSA-N,126.1362,1.874205941,[M+H]+
D3-L-Carnitine iSTD [M+H]+_JXXCENBLGFBQJM-QKBJTWEASA-N,165.1313,1.875164838,[M+H]+
D7-Proline iSTD [M+H]+,123.114,1.908554298,[M+H]+
D3-Creatine iSTD [M+H]+_ MEJYXFHCRXAUIL-NIIDSAIPSA-N,135.0956,1.98554271,[M+H]+
D4-Alanine iSTD [M+H]+_QNAYBMKLOCPYGJ-IALWIIEESA-N,94.081,1.991996838,[M+H]+
D5-Threonine iSTD [M+H]+_ AYFVYJQAPQTCCC-WKHZCAFQSA-N,125.097,2.040800847,[M+H]+
D5-L-Glutamine iSTD [M+H]+_ ZDXPYRJPNDTMRX-NKXUJHECSA-N,152.1078,2.125826519,[M+H]+
D3-Serine iSTD [M+H]+_ MTCFGRXMJLQNBG-FUDHJZNOSA-N,109.068,2.149382173,[M+H]+
D3-Asparagine iSTD [M+H]+,136.079,2.159370759,[M+H]+
D3-DL-Glutamic acid iSTD [M+H]+_WHUUTDBJXJRKMK-UHVFUKFASA-N,151.0793,2.174098216,[M+H]+
D3-Aspartic Acid iSTD [M+H]+_ CKLJMWTZIZZHCS-RBXBQAPRSA-N,137.0633,2.28923821,[M+H]+
D5-Histidine iSTD [M+H]+,161.1079,2.323993644,[M+H]+
D7-Arginine iSTD [M+H]+_KWTQSFXGGICVPE-AHQNDZJWSA-N,182.1626,2.338389517,[M+H]+
D8-Lysine iSTD [M+H]+_BVHLGVCQOALMSV-RLIARQKESA-N,155.163,2.357592481,[M+H]+
D2-Ornithine iSTD [M+H]+_AHLPHDHHMVZTML-KICNZHNUSA-N,135.109,2.368060222,[M+H]+
D4-Cystine iSTD [M+H]+,245.056,2.425292742,[M+H]+
